timestamp,tag,dangling_proxies,dangling_moderators,orphan_proxies
20251005_003429,pre_20251005_003429,0,0,0
20251005_004103,post_20251005_003429,0,0,0
20251005_005405,pre_deletes_20251005_005405,0,0,0
20251005_105802,pre_deletes_20251005_105802,0,0,0
20251005_110915,post_crash,0,0,0
20251005_111620,pre_deletes_20251005_111620,0,0,0
20251005_112107,post_deletes_20251005_111620,0,0,0
20251005_114112,pre_deletes_20251005_114112,0,0,0
20251006_083339,pre_deletes_20251006_083339,0,0,0
20251006_083938,post_deletes_20251006_083339,0,0,0
20251006_085241,pre_deletes_20251006_085241,0,0,0
20251006_090235,post_deletes_20251006_085241,1,4,0
20251006_092933,pre_deletes_20251006_092933,0,0,0
20251006_093907,post_deletes_20251006_092933,2,0,0
20251012_123115,pre_cleanup_20251012_123115,0,0,0
20251012_123710,post_cleanup_20251012_123115,0,0,0
20251012_125024,pre_cleanup_20251012_125024,0,0,0
20251012_125702,post_cleanup_20251012_125024,1,1,0
20251012_134902,pre_cleanup_20251012_134902,0,0,0
20251012_135612,post_cleanup_20251012_134902,1,1,0
20251013_143918,pre_cleanup_20251013_143918,0,0,0
20251013_144609,post_cleanup_20251013_143918,1,1,0
