Benchmark,Query,Count,Mean_ms,Min_ms,Max_ms,P50_ms,P90_ms,P95_ms,P99_ms
1_thread,LdbcQuery10,11,309.82,,,,,,
1_thread,LdbcQuery11,22,36.82,,,,,,
1_thread,LdbcQuery4,9,86.11,,,,,,
1_thread,LdbcQuery5,6,33.83,,,,,,
1_thread,LdbcQuery9,2,29.0,,,,,,
2_threads,LdbcQuery10,11,337.0,,,,,,
2_threads,LdbcQuery11,22,41.59,,,,,,
2_threads,LdbcQuery4,9,110.11,,,,,,
2_threads,LdbcQuery5,6,34.0,,,,,,
2_threads,LdbcQuery9,2,28.0,,,,,,
4_threads,LdbcQuery10,11,300.09,,,,,,
4_threads,LdbcQuery11,22,49.32,,,,,,
4_threads,LdbcQuery4,9,176.0,,,,,,
4_threads,LdbcQuery5,6,35.67,,,,,,
4_threads,LdbcQuery9,2,31.0,,,,,,
